epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,829.632,0.93357,1.5271,3.04588,0.89851,0.87586,0.70571,0.72048,0.6381,0.87194,0.70191,0.71723,0.59537,0.7698,1.10179,0.83543,0.84987,0.00333304,0.00333304,0.00333304
2,1638.5,0.83875,1.36518,1.50224,0.87914,0.91885,0.72869,0.74116,0.67708,0.90766,0.72767,0.73904,0.62242,0.66764,1.02667,0.64341,0.83626,0.00653438,0.00653438,0.00653438
3,2453.92,0.82919,1.35181,1.0107,0.88401,0.9463,0.72904,0.74692,0.68908,0.9427,0.72709,0.74599,0.63239,0.63437,0.99508,0.55696,0.83288,0.00960372,0.00960372,0.00960372
4,3259.17,0.78535,1.30816,0.82275,0.87834,0.95345,0.73407,0.75719,0.70445,0.94562,0.73271,0.75611,0.64424,0.59455,0.96342,0.49143,0.82511,0.009406,0.009406,0.009406
5,4056.79,0.71316,1.23708,0.69024,0.86445,0.95776,0.738,0.76594,0.71878,0.95122,0.73669,0.76437,0.65585,0.5569,0.91759,0.4439,0.81858,0.009208,0.009208,0.009208
6,4851.59,0.67748,1.20312,0.63006,0.85687,0.94394,0.73999,0.77192,0.72827,0.95259,0.73737,0.7703,0.66313,0.53412,0.8923,0.4179,0.81433,0.00901,0.00901,0.00901
7,5647.28,0.65469,1.17274,0.59313,0.85135,0.95508,0.74063,0.77518,0.73343,0.95696,0.73777,0.77307,0.66751,0.5189,0.87599,0.40173,0.81146,0.008812,0.008812,0.008812
8,6439.7,0.63417,1.14725,0.56534,0.84716,0.95548,0.74235,0.77803,0.73773,0.95292,0.73919,0.77606,0.67117,0.50797,0.86436,0.39057,0.80943,0.008614,0.008614,0.008614
9,7237.63,0.61399,1.11836,0.54291,0.84347,0.94821,0.74498,0.78036,0.74087,0.95369,0.73982,0.77842,0.67428,0.50006,0.85699,0.38258,0.80781,0.008416,0.008416,0.008416
10,8039.67,0.60472,1.11671,0.52767,0.84142,0.94665,0.74613,0.7821,0.74338,0.95105,0.741,0.78008,0.6763,0.49257,0.85065,0.37639,0.80639,0.008218,0.008218,0.008218
11,8838.55,0.59407,1.10417,0.51537,0.8396,0.94926,0.74689,0.78381,0.74578,0.94436,0.74292,0.78167,0.6788,0.48591,0.84495,0.37112,0.80522,0.00802,0.00802,0.00802
12,9631.33,0.58503,1.08987,0.50448,0.83725,0.95207,0.74725,0.78536,0.74802,0.94077,0.74419,0.78297,0.68069,0.47986,0.83949,0.3667,0.80413,0.007822,0.007822,0.007822
13,10440.9,0.57717,1.08161,0.4955,0.83648,0.95365,0.74763,0.78642,0.74985,0.94283,0.74474,0.78405,0.68215,0.47369,0.83453,0.36198,0.80307,0.007624,0.007624,0.007624
14,11247.3,0.56879,1.06892,0.48605,0.83439,0.95499,0.74811,0.78698,0.7513,0.94544,0.74513,0.78478,0.68314,0.46781,0.8288,0.35717,0.80204,0.007426,0.007426,0.007426
15,12042.1,0.56061,1.06154,0.47598,0.83293,0.95549,0.74852,0.78766,0.75244,0.94534,0.7455,0.78533,0.6842,0.46223,0.8227,0.35251,0.80099,0.007228,0.007228,0.007228
16,12846.2,0.55498,1.05128,0.4682,0.83118,0.95434,0.74909,0.78849,0.75379,0.94472,0.74584,0.78582,0.68525,0.45629,0.81652,0.34754,0.79992,0.00703,0.00703,0.00703
17,13655.2,0.54816,1.04629,0.46087,0.82973,0.95388,0.74947,0.78936,0.75509,0.94593,0.74605,0.78665,0.68626,0.45135,0.81008,0.34281,0.79894,0.006832,0.006832,0.006832
18,14458.1,0.5424,1.03839,0.45246,0.82902,0.94581,0.75151,0.79055,0.75666,0.94637,0.74639,0.78748,0.68736,0.44575,0.80312,0.33764,0.79786,0.006634,0.006634,0.006634
19,15264.3,0.53593,1.02835,0.44725,0.82755,0.94638,0.752,0.79132,0.75802,0.93807,0.74817,0.78819,0.68841,0.44013,0.79707,0.33241,0.79687,0.006436,0.006436,0.006436
20,16074.3,0.53319,1.02928,0.44173,0.82713,0.94658,0.75277,0.79231,0.7593,0.9385,0.74858,0.78895,0.68952,0.43478,0.79056,0.32716,0.79594,0.006238,0.006238,0.006238
21,16881.6,0.52662,1.0166,0.43392,0.82562,0.94717,0.75342,0.79321,0.76041,0.94109,0.74882,0.78985,0.69062,0.42898,0.78403,0.32184,0.795,0.00604,0.00604,0.00604
22,17696.9,0.5215,1.01299,0.42955,0.8248,0.94723,0.75441,0.79391,0.7615,0.94672,0.74881,0.79047,0.69134,0.42333,0.7778,0.31658,0.79401,0.005842,0.005842,0.005842
23,18499.8,0.51757,1.00851,0.42589,0.82446,0.94878,0.7552,0.79468,0.76266,0.94133,0.7503,0.79109,0.69232,0.41799,0.7716,0.31172,0.79318,0.005644,0.005644,0.005644
24,19311.5,0.51369,1.00373,0.42093,0.82375,0.94879,0.75609,0.79537,0.76358,0.9385,0.75142,0.79139,0.69282,0.41291,0.76588,0.3076,0.79234,0.005446,0.005446,0.005446
25,20118.1,0.50706,0.99699,0.41448,0.82191,0.95279,0.75657,0.79637,0.76472,0.9379,0.75209,0.79196,0.6929,0.40827,0.76021,0.30366,0.79156,0.005248,0.005248,0.005248
26,20926,0.50222,0.98688,0.41149,0.82199,0.95351,0.75748,0.79717,0.76575,0.93387,0.75355,0.79256,0.6934,0.40378,0.75475,0.29982,0.79081,0.00505,0.00505,0.00505
27,21730.1,0.50007,0.98202,0.40616,0.82203,0.95265,0.75824,0.79786,0.76667,0.93181,0.75457,0.79322,0.69399,0.39885,0.74914,0.29625,0.79012,0.004852,0.004852,0.004852
28,22544.8,0.49185,0.9684,0.39861,0.82006,0.9503,0.75905,0.79865,0.76781,0.92994,0.75551,0.79385,0.69477,0.39438,0.74433,0.29227,0.78949,0.004654,0.004654,0.004654
29,23350.7,0.49288,0.97715,0.39867,0.81923,0.94901,0.76013,0.79952,0.76889,0.93036,0.75581,0.79438,0.69541,0.39031,0.73929,0.28859,0.78878,0.004456,0.004456,0.004456
30,24156.5,0.48751,0.9705,0.39325,0.81903,0.94871,0.76066,0.80014,0.77001,0.92978,0.75639,0.7948,0.69616,0.38643,0.73474,0.28523,0.78814,0.004258,0.004258,0.004258
31,24969.6,0.4822,0.95877,0.38852,0.81896,0.94817,0.76142,0.80097,0.77102,0.92934,0.75662,0.79539,0.69676,0.38253,0.73031,0.2823,0.78753,0.00406,0.00406,0.00406
32,25784.6,0.47811,0.96131,0.38498,0.81742,0.9482,0.76207,0.80206,0.77215,0.92949,0.75718,0.79613,0.69743,0.3789,0.72574,0.27964,0.78698,0.003862,0.003862,0.003862
33,26596.4,0.47409,0.95127,0.37856,0.81672,0.94893,0.76243,0.80278,0.77302,0.92932,0.75731,0.79668,0.69811,0.37537,0.72165,0.27682,0.78639,0.003664,0.003664,0.003664
34,27396.1,0.46927,0.95053,0.37491,0.81556,0.94791,0.76315,0.80354,0.77392,0.92889,0.75773,0.79716,0.69868,0.37171,0.71741,0.27426,0.78581,0.003466,0.003466,0.003466
35,28203.9,0.46257,0.93281,0.36892,0.81534,0.94726,0.76368,0.80442,0.775,0.92936,0.75764,0.79767,0.69936,0.3684,0.71303,0.27217,0.78527,0.003268,0.003268,0.003268
36,29020.9,0.45954,0.9329,0.36488,0.81362,0.94613,0.76427,0.80497,0.77586,0.92861,0.75804,0.79824,0.69983,0.36506,0.70887,0.26999,0.78474,0.00307,0.00307,0.00307
37,29834.2,0.45772,0.93487,0.36179,0.81346,0.94663,0.76453,0.80557,0.77671,0.92625,0.75849,0.7987,0.70057,0.36154,0.70473,0.268,0.78423,0.002872,0.002872,0.002872
38,30648,0.45182,0.9217,0.35712,0.81299,0.94586,0.76503,0.80631,0.77748,0.92572,0.75866,0.79915,0.70124,0.35866,0.70113,0.266,0.78369,0.002674,0.002674,0.002674
39,31460.2,0.44466,0.91217,0.34855,0.81139,0.94595,0.76554,0.80728,0.7784,0.92395,0.7589,0.79972,0.70223,0.3558,0.69728,0.2641,0.78321,0.002476,0.002476,0.002476
40,32272.3,0.438,0.90349,0.34349,0.81046,0.94477,0.76609,0.80804,0.77929,0.9229,0.75919,0.80023,0.70305,0.35285,0.69341,0.26194,0.78273,0.002278,0.002278,0.002278
41,33052.2,0.39566,0.85907,0.28537,0.7849,0.94478,0.76661,0.80907,0.78036,0.92323,0.75924,0.80072,0.70369,0.34971,0.6898,0.25967,0.78226,0.00208,0.00208,0.00208
42,33858.5,0.38699,0.84885,0.27799,0.78364,0.94503,0.76706,0.81,0.78154,0.9214,0.76004,0.80162,0.70448,0.34622,0.68534,0.25739,0.78176,0.001882,0.001882,0.001882
43,34672.1,0.37986,0.83689,0.27151,0.7824,0.9447,0.76779,0.81109,0.78278,0.92046,0.76054,0.80244,0.70552,0.34269,0.68136,0.25456,0.78123,0.001684,0.001684,0.001684
44,35485,0.37298,0.82735,0.26465,0.78206,0.94402,0.7684,0.81216,0.78397,0.91974,0.76109,0.80328,0.7065,0.339,0.67688,0.25179,0.78074,0.001486,0.001486,0.001486
45,36296.7,0.36443,0.81217,0.25773,0.77954,0.94388,0.76895,0.81334,0.78504,0.92023,0.76158,0.80422,0.70738,0.33549,0.67217,0.2488,0.78023,0.001288,0.001288,0.001288
46,37109.5,0.35787,0.80654,0.25191,0.77925,0.94367,0.76951,0.81438,0.78621,0.92059,0.76196,0.80506,0.70833,0.33212,0.66783,0.24599,0.77969,0.00109,0.00109,0.00109
47,37919.7,0.35044,0.79504,0.24479,0.77806,0.94447,0.77,0.81547,0.78743,0.92074,0.76243,0.80591,0.70914,0.32861,0.66288,0.24306,0.7792,0.000892,0.000892,0.000892
48,38722.5,0.34329,0.78049,0.23855,0.7772,0.94388,0.77054,0.81633,0.78824,0.92073,0.76267,0.80654,0.7097,0.32541,0.65799,0.24,0.77868,0.000694,0.000694,0.000694
49,39533.9,0.33693,0.77029,0.23337,0.77643,0.94432,0.77119,0.81738,0.78906,0.92167,0.76297,0.80744,0.71045,0.32239,0.65342,0.23694,0.77818,0.000496,0.000496,0.000496
50,40342.5,0.33051,0.76348,0.22765,0.77616,0.9447,0.77175,0.81817,0.78966,0.92167,0.76317,0.80789,0.71088,0.31961,0.64911,0.23388,0.77771,0.000298,0.000298,0.000298
