epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,796.296,0.94725,1.55446,3.0278,0.90341,0.90309,0.71113,0.72366,0.63688,0.89535,0.7089,0.72019,0.59573,0.78174,1.13817,0.81939,0.85105,0.00333304,0.00333304,0.00333304
2,1554.57,0.86108,1.40123,1.51834,0.88664,0.91767,0.7276,0.7406,0.67354,0.91454,0.72529,0.73832,0.6216,0.67767,1.04078,0.64111,0.83926,0.00653438,0.00653438,0.00653438
3,2302.39,0.84678,1.38266,1.02606,0.89224,0.93642,0.7309,0.74768,0.68461,0.93194,0.72864,0.74594,0.62711,0.6524,1.01837,0.56459,0.8382,0.00960372,0.00960372,0.00960372
4,3046.11,0.80215,1.33939,0.8269,0.88873,0.95934,0.73365,0.7596,0.70404,0.95121,0.73173,0.75834,0.64231,0.60738,0.97571,0.48164,0.83068,0.009406,0.009406,0.009406
5,3789.82,0.73207,1.27009,0.69427,0.87455,0.95378,0.73672,0.76686,0.71583,0.95143,0.73487,0.76528,0.65359,0.5733,0.94054,0.43777,0.82452,0.009208,0.009208,0.009208
6,4533.9,0.6946,1.23248,0.63138,0.86546,0.95362,0.74004,0.77263,0.7246,0.94931,0.73818,0.77125,0.66038,0.55051,0.91365,0.41039,0.81991,0.00901,0.00901,0.00901
7,5277.04,0.6706,1.20376,0.59303,0.85995,0.95363,0.74083,0.77635,0.73048,0.94669,0.73847,0.77478,0.66555,0.5332,0.89665,0.39515,0.81706,0.008812,0.008812,0.008812
8,6021.14,0.65265,1.17737,0.56682,0.85688,0.95513,0.74189,0.7795,0.73526,0.94851,0.73959,0.77746,0.67,0.52186,0.88519,0.38382,0.81459,0.008614,0.008614,0.008614
9,6764.75,0.63359,1.15266,0.54591,0.85236,0.95511,0.74331,0.78164,0.73878,0.94893,0.74018,0.77942,0.67296,0.51287,0.87594,0.37645,0.81277,0.008416,0.008416,0.008416
10,7508.47,0.62354,1.13952,0.53207,0.85025,0.9551,0.74419,0.78348,0.7416,0.94269,0.74183,0.78119,0.6756,0.50585,0.86909,0.37102,0.81136,0.008218,0.008218,0.008218
11,8252.23,0.61243,1.13308,0.51908,0.84719,0.95067,0.74528,0.78454,0.7434,0.94413,0.74238,0.78238,0.6772,0.50001,0.86276,0.366,0.81025,0.00802,0.00802,0.00802
12,8996.57,0.60383,1.12205,0.50986,0.84589,0.94948,0.74592,0.78543,0.74496,0.94331,0.74305,0.78301,0.67851,0.49472,0.85694,0.36189,0.80921,0.007822,0.007822,0.007822
13,9740.15,0.5957,1.11082,0.50267,0.84356,0.94992,0.74633,0.78637,0.74661,0.944,0.74352,0.78396,0.67965,0.48956,0.85131,0.3581,0.80818,0.007624,0.007624,0.007624
14,10484.1,0.58536,1.0966,0.48897,0.84129,0.9491,0.7474,0.78712,0.74766,0.94352,0.74378,0.78449,0.6806,0.48408,0.84598,0.35397,0.80709,0.007426,0.007426,0.007426
15,11227.9,0.57843,1.08877,0.48193,0.83951,0.9489,0.74816,0.78783,0.74909,0.9476,0.74393,0.78525,0.6819,0.47804,0.83973,0.34979,0.80594,0.007228,0.007228,0.007228
