epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,797.972,0.97341,1.57667,3.08931,0.91641,0.87294,0.71061,0.71996,0.63241,0.8701,0.70706,0.71731,0.58934,0.80541,1.16976,0.85813,0.86542,0.00333304,0.00333304,0.00333304
2,1558.09,0.88558,1.42205,1.5791,0.89939,0.90734,0.72683,0.73674,0.66492,0.90398,0.72358,0.734,0.61277,0.70159,1.07867,0.66257,0.84716,0.00653438,0.00653438,0.00653438
3,2307,0.8685,1.40402,1.0851,0.90294,0.93481,0.72458,0.74535,0.67905,0.92737,0.72304,0.74303,0.62292,0.67007,1.0539,0.58703,0.84347,0.00960372,0.00960372,0.00960372
4,3051.27,0.82197,1.3615,0.86927,0.90127,0.94972,0.72862,0.75416,0.69331,0.94203,0.72654,0.7517,0.63472,0.63484,1.00998,0.50698,0.8394,0.009406,0.009406,0.009406
5,3797.33,0.75513,1.28986,0.72559,0.88586,0.9513,0.73453,0.76282,0.707,0.95032,0.73102,0.76128,0.64556,0.60163,0.98089,0.45362,0.83215,0.009208,0.009208,0.009208
6,4542.41,0.72074,1.25706,0.65992,0.87655,0.94954,0.73807,0.76942,0.7166,0.94539,0.73501,0.768,0.65465,0.5802,0.95393,0.42524,0.82723,0.00901,0.00901,0.00901
7,5288.17,0.6985,1.22451,0.62091,0.87015,0.94906,0.73861,0.7729,0.72264,0.94898,0.73671,0.77157,0.65959,0.56412,0.93619,0.40938,0.82348,0.008812,0.008812,0.008812
8,6033.4,0.67909,1.19958,0.59373,0.86556,0.94837,0.73983,0.7761,0.72755,0.94282,0.73799,0.77414,0.66334,0.55347,0.92537,0.399,0.82091,0.008614,0.008614,0.008614
9,6778.92,0.66101,1.17378,0.56848,0.86082,0.95299,0.74015,0.77889,0.73152,0.94556,0.73864,0.7767,0.66755,0.54451,0.91683,0.3918,0.81889,0.008416,0.008416,0.008416
10,7524.3,0.65058,1.16879,0.55699,0.8575,0.95201,0.74096,0.78096,0.7347,0.94454,0.73919,0.77838,0.66985,0.53743,0.91008,0.38591,0.81735,0.008218,0.008218,0.008218
11,8269.6,0.64007,1.15559,0.54323,0.8546,0.95531,0.74121,0.78252,0.73697,0.94521,0.73939,0.77964,0.67202,0.53105,0.90375,0.38084,0.81597,0.00802,0.00802,0.00802
12,9015.56,0.63122,1.14419,0.5334,0.85279,0.95566,0.7417,0.78394,0.73904,0.94369,0.73977,0.78103,0.67403,0.52555,0.89795,0.37695,0.81476,0.007822,0.007822,0.007822
13,9761.71,0.62386,1.13714,0.52294,0.85076,0.95635,0.74218,0.78556,0.74132,0.9413,0.74101,0.7825,0.67659,0.52006,0.8921,0.37302,0.81354,0.007624,0.007624,0.007624
14,10507.6,0.61323,1.12067,0.51181,0.84908,0.94856,0.74397,0.78696,0.74344,0.93886,0.74164,0.78372,0.6786,0.51426,0.88586,0.36949,0.81222,0.007426,0.007426,0.007426
15,11260.2,0.6039,1.10836,0.4995,0.84647,0.94525,0.74492,0.78856,0.74576,0.93926,0.74219,0.78525,0.68073,0.5087,0.87954,0.36543,0.81101,0.007228,0.007228,0.007228
16,12007.9,0.59987,1.10279,0.49712,0.84506,0.94366,0.74584,0.78976,0.74778,0.9399,0.74276,0.78641,0.68203,0.50297,0.87252,0.36114,0.80978,0.00703,0.00703,0.00703
17,12751.6,0.59306,1.09645,0.48872,0.84356,0.94217,0.74709,0.79087,0.74962,0.9411,0.74311,0.78738,0.68359,0.49718,0.86539,0.35709,0.8085,0.006832,0.006832,0.006832
18,13496.8,0.58747,1.08828,0.48255,0.84239,0.94189,0.74795,0.79178,0.7513,0.94132,0.74363,0.78826,0.68509,0.49138,0.85852,0.35297,0.80724,0.006634,0.006634,0.006634
19,14238.7,0.58131,1.07885,0.47627,0.84111,0.94436,0.74825,0.79249,0.75251,0.94099,0.74442,0.78874,0.68607,0.48525,0.85096,0.34871,0.80599,0.006436,0.006436,0.006436
20,14984,0.57776,1.07434,0.47103,0.84009,0.945,0.74862,0.79294,0.75331,0.94126,0.745,0.78917,0.68648,0.47953,0.84518,0.34466,0.80479,0.006238,0.006238,0.006238
21,15727.8,0.57015,1.06031,0.46328,0.83811,0.94472,0.74992,0.79344,0.75467,0.94047,0.74589,0.78982,0.68743,0.47325,0.83802,0.34076,0.80357,0.00604,0.00604,0.00604
22,16464.6,0.56562,1.06198,0.45942,0.83775,0.94493,0.75088,0.79388,0.75584,0.93829,0.74673,0.78998,0.6881,0.46701,0.83063,0.33709,0.80238,0.005842,0.005842,0.005842
23,17201.8,0.56236,1.05629,0.45514,0.83635,0.94574,0.75137,0.79414,0.75684,0.93902,0.74706,0.79015,0.68867,0.46119,0.82392,0.33315,0.80127,0.005644,0.005644,0.005644
24,17945.2,0.55733,1.04965,0.44839,0.83521,0.94696,0.75162,0.79433,0.75793,0.9389,0.74766,0.7906,0.68949,0.45597,0.81817,0.32931,0.80017,0.005446,0.005446,0.005446
25,18683.3,0.55037,1.04072,0.44326,0.83352,0.94553,0.7527,0.79443,0.75859,0.94011,0.74806,0.79052,0.68969,0.45042,0.81172,0.32546,0.79915,0.005248,0.005248,0.005248
26,19432.1,0.54517,1.03183,0.43702,0.8331,0.94659,0.75325,0.79451,0.7591,0.94084,0.74839,0.79028,0.69,0.44523,0.80573,0.32155,0.79824,0.00505,0.00505,0.00505
27,20174.8,0.54176,1.02843,0.43244,0.83215,0.94867,0.75349,0.79512,0.76027,0.94145,0.74861,0.7906,0.69071,0.44022,0.79946,0.31772,0.79733,0.004852,0.004852,0.004852
28,20918.4,0.53532,1.01273,0.42397,0.83122,0.94916,0.75389,0.79556,0.76121,0.94182,0.74921,0.79086,0.69144,0.43522,0.79397,0.31401,0.79649,0.004654,0.004654,0.004654
29,21663.5,0.53446,1.0189,0.42415,0.83037,0.94948,0.75442,0.79626,0.76244,0.94272,0.7494,0.79142,0.69208,0.43086,0.78897,0.31061,0.79571,0.004456,0.004456,0.004456
