epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,709.574,0.91026,1.54273,3.06927,0.89399,0.88694,0.70724,0.72046,0.62998,0.8789,0.70421,0.71635,0.58314,0.78586,1.17079,0.79394,0.85221,0.00333275,0.00333275,0.00333275
2,1406.05,0.83064,1.38524,1.52484,0.87545,0.92902,0.72223,0.7398,0.66692,0.92138,0.72041,0.73739,0.61651,0.6847,1.05591,0.6079,0.83879,0.00665288,0.00665288,0.00665288
3,2074.41,0.82196,1.36713,1.00773,0.88028,0.94419,0.72823,0.74498,0.68198,0.93848,0.72533,0.7432,0.6259,0.64047,1.01,0.55245,0.83372,0.00995981,0.00995981,0.00995981
4,2741.89,0.77374,1.31637,0.79844,0.87561,0.96029,0.73429,0.75798,0.70407,0.95363,0.73268,0.75684,0.64281,0.58597,0.95785,0.46675,0.8252,0.0099406,0.0099406,0.0099406
5,3405.75,0.70886,1.25276,0.67231,0.86293,0.95938,0.73797,0.76633,0.71904,0.95393,0.73587,0.76501,0.65518,0.54276,0.91888,0.4213,0.81767,0.0099208,0.0099208,0.0099208
6,4070.62,0.67301,1.20875,0.61915,0.85623,0.9533,0.74068,0.77027,0.72594,0.94749,0.73882,0.76872,0.66089,0.51986,0.8921,0.39557,0.8129,0.009901,0.009901,0.009901
7,4732.99,0.65114,1.19339,0.58457,0.85171,0.94809,0.74269,0.77408,0.73223,0.945,0.74046,0.77246,0.66504,0.50117,0.87306,0.3765,0.80952,0.0098812,0.0098812,0.0098812
8,5394.88,0.63301,1.16719,0.56116,0.84677,0.94946,0.74513,0.77656,0.73668,0.94258,0.74217,0.7748,0.6688,0.4879,0.85917,0.36405,0.807,0.0098614,0.0098614,0.0098614
9,6056.5,0.62142,1.15423,0.5464,0.84469,0.94646,0.74641,0.77734,0.73853,0.93922,0.74334,0.7755,0.67043,0.47785,0.84772,0.35558,0.8051,0.0098416,0.0098416,0.0098416
10,6718.56,0.60408,1.13132,0.52713,0.84101,0.94832,0.74699,0.77891,0.74115,0.94118,0.7437,0.77693,0.6723,0.46952,0.84074,0.34902,0.80365,0.0098218,0.0098218,0.0098218
11,7383.8,0.59631,1.11674,0.51659,0.83989,0.94915,0.7475,0.78061,0.74334,0.94152,0.74443,0.77836,0.67435,0.46276,0.83491,0.34382,0.80265,0.009802,0.009802,0.009802
12,8038.18,0.58882,1.11222,0.50806,0.83861,0.94829,0.74801,0.78209,0.74564,0.94028,0.74522,0.77975,0.67648,0.4574,0.8304,0.33947,0.80179,0.0097822,0.0097822,0.0097822
13,8701.69,0.58457,1.10688,0.50221,0.83757,0.95056,0.74813,0.78375,0.74783,0.94278,0.74515,0.78125,0.6781,0.45283,0.82735,0.33573,0.8011,0.0097624,0.0097624,0.0097624
14,9352.41,0.57699,1.09521,0.49437,0.83653,0.95195,0.74837,0.78472,0.74939,0.94429,0.74522,0.78247,0.67949,0.44856,0.82415,0.33272,0.80046,0.0097426,0.0097426,0.0097426
15,10016.2,0.57105,1.08545,0.48763,0.83512,0.95339,0.74887,0.78578,0.75082,0.94431,0.74568,0.78324,0.68075,0.44431,0.82035,0.32936,0.79979,0.0097228,0.0097228,0.0097228
16,10667.3,0.56874,1.0915,0.48623,0.83437,0.95115,0.74973,0.78663,0.75199,0.94439,0.74626,0.78394,0.68211,0.44033,0.81664,0.32628,0.79919,0.009703,0.009703,0.009703
17,11341.3,0.56521,1.08528,0.4778,0.83334,0.95205,0.75057,0.7876,0.75326,0.94664,0.74651,0.78461,0.68317,0.43663,0.81262,0.32335,0.79858,0.0096832,0.0096832,0.0096832
18,12006.6,0.56133,1.07461,0.47427,0.83276,0.95048,0.7514,0.78842,0.75428,0.93869,0.74803,0.78515,0.68428,0.43265,0.80844,0.32044,0.7979,0.0096634,0.0096634,0.0096634
19,12676.3,0.56146,1.07763,0.47361,0.83289,0.94938,0.75191,0.78931,0.75554,0.93855,0.74862,0.78593,0.68543,0.42904,0.80444,0.31749,0.79725,0.0096436,0.0096436,0.0096436
20,13342.7,0.55303,1.06531,0.46816,0.83175,0.94981,0.75262,0.79002,0.75664,0.93444,0.74981,0.7865,0.68612,0.42511,0.80038,0.31429,0.79654,0.0096238,0.0096238,0.0096238
21,14013.1,0.55339,1.06446,0.46742,0.8315,0.95336,0.75279,0.79059,0.75723,0.93659,0.75002,0.78701,0.68683,0.42185,0.79628,0.31116,0.79591,0.009604,0.009604,0.009604
22,14682.3,0.55168,1.06398,0.46577,0.83081,0.95383,0.7531,0.79095,0.75814,0.93795,0.74996,0.78738,0.6873,0.41825,0.79216,0.30845,0.79525,0.0095842,0.0095842,0.0095842
23,15354.7,0.55024,1.06082,0.46273,0.83074,0.94939,0.75432,0.79172,0.75918,0.93634,0.75087,0.78811,0.68848,0.4146,0.78792,0.30565,0.7947,0.0095644,0.0095644,0.0095644
24,16018.9,0.54657,1.05739,0.45977,0.8305,0.94981,0.75486,0.79225,0.75984,0.93552,0.7514,0.78845,0.68865,0.4114,0.784,0.30323,0.79417,0.0095446,0.0095446,0.0095446
25,16690.9,0.54455,1.05026,0.45766,0.82978,0.94875,0.7554,0.79264,0.76065,0.93198,0.75232,0.78878,0.68897,0.40815,0.78036,0.30078,0.79366,0.0095248,0.0095248,0.0095248
26,17358.2,0.54354,1.05168,0.45841,0.82939,0.94844,0.7561,0.79299,0.76114,0.9319,0.75277,0.78894,0.68928,0.40506,0.77635,0.29834,0.79315,0.009505,0.009505,0.009505
27,18029.3,0.54352,1.04982,0.45709,0.83,0.94759,0.75688,0.79366,0.76206,0.92921,0.75368,0.78932,0.6897,0.402,0.77249,0.29593,0.79267,0.0094852,0.0094852,0.0094852
28,18691.6,0.53876,1.04042,0.45426,0.82905,0.94864,0.75715,0.7942,0.76281,0.92752,0.75426,0.78981,0.68998,0.39909,0.76904,0.29349,0.79217,0.0094654,0.0094654,0.0094654
