epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.218,0.92821,1.56453,3.07638,0.89841,0.87767,0.70689,0.71592,0.62312,0.86917,0.70265,0.71187,0.57477,0.8071,1.18785,0.80013,0.85466,0.00333275,0.00333275,0.00333275
2,1317.37,0.85,1.41078,1.53497,0.88084,0.92819,0.72413,0.73977,0.66518,0.91949,0.72187,0.73712,0.61985,0.68975,1.06388,0.61182,0.84008,0.00665288,0.00665288,0.00665288
3,1956.19,0.84378,1.39974,1.0282,0.8865,0.93589,0.72788,0.74669,0.67859,0.92639,0.72626,0.74442,0.62408,0.66275,1.0399,0.55804,0.83777,0.00995981,0.00995981,0.00995981
4,2593.96,0.79311,1.35121,0.82005,0.88132,0.9526,0.7341,0.75705,0.70072,0.94808,0.73172,0.75587,0.64192,0.5984,0.97664,0.48045,0.82818,0.0099406,0.0099406,0.0099406
5,3229.98,0.72432,1.28509,0.68569,0.86856,0.9513,0.73886,0.76682,0.71628,0.94849,0.73689,0.76547,0.65448,0.55539,0.93566,0.4264,0.82016,0.0099208,0.0099208,0.0099208
6,3865.42,0.68731,1.23953,0.62749,0.86013,0.9468,0.74108,0.77231,0.72527,0.9415,0.73915,0.77048,0.66098,0.53099,0.91201,0.39945,0.81477,0.009901,0.009901,0.009901
7,4502.39,0.66687,1.21663,0.59355,0.85637,0.94946,0.7426,0.77754,0.73312,0.94512,0.74083,0.77577,0.66759,0.51307,0.89136,0.38246,0.81134,0.0098812,0.0098812,0.0098812
8,5139.62,0.64813,1.19596,0.56741,0.85117,0.94366,0.745,0.77806,0.73573,0.94071,0.74233,0.77617,0.66888,0.49923,0.87609,0.37109,0.80846,0.0098614,0.0098614,0.0098614
9,5775.26,0.63713,1.18119,0.55287,0.84896,0.94492,0.74591,0.77911,0.7385,0.93869,0.74344,0.77714,0.67089,0.48805,0.86515,0.36249,0.8063,0.0098416,0.0098416,0.0098416
10,6410.71,0.61909,1.15549,0.53451,0.84511,0.95083,0.74597,0.78066,0.74122,0.94035,0.74382,0.77892,0.67382,0.48077,0.85847,0.35679,0.805,0.0098218,0.0098218,0.0098218
11,7046.72,0.61303,1.14602,0.52847,0.84454,0.95047,0.74618,0.78195,0.7436,0.94142,0.74388,0.78004,0.67605,0.47508,0.85273,0.35247,0.80402,0.009802,0.009802,0.009802
12,7682.86,0.60536,1.13915,0.51723,0.84262,0.9495,0.74657,0.78329,0.74516,0.93917,0.74431,0.78139,0.67822,0.47008,0.84768,0.34844,0.80326,0.0097822,0.0097822,0.0097822
13,8318.87,0.59883,1.13225,0.51177,0.84109,0.94662,0.74744,0.78448,0.7468,0.93831,0.7449,0.78234,0.67978,0.46645,0.84354,0.34495,0.80263,0.0097624,0.0097624,0.0097624
14,8954.03,0.5929,1.12014,0.5052,0.84025,0.94542,0.74794,0.78577,0.74868,0.93769,0.74516,0.78366,0.68145,0.4631,0.83961,0.34191,0.80205,0.0097426,0.0097426,0.0097426
15,9590.14,0.58831,1.11417,0.49759,0.83893,0.9431,0.74862,0.7868,0.74985,0.93653,0.74567,0.78456,0.68258,0.45959,0.83601,0.33898,0.80153,0.0097228,0.0097228,0.0097228
16,10226.6,0.58467,1.11526,0.49312,0.83833,0.93959,0.74983,0.7877,0.75126,0.93412,0.7466,0.7855,0.68358,0.45608,0.83234,0.33648,0.80098,0.009703,0.009703,0.009703
17,10861.6,0.5815,1.10795,0.49041,0.83776,0.93959,0.75048,0.789,0.75269,0.93368,0.74694,0.78664,0.68514,0.4525,0.82906,0.33366,0.80037,0.0096832,0.0096832,0.0096832
18,11496,0.57568,1.09872,0.48515,0.83717,0.94037,0.75086,0.79001,0.75418,0.93533,0.7469,0.78764,0.68626,0.44852,0.82544,0.33103,0.79971,0.0096634,0.0096634,0.0096634
19,12132.2,0.57735,1.10371,0.48314,0.83702,0.93874,0.752,0.79083,0.75541,0.93456,0.74748,0.7883,0.68704,0.44475,0.82134,0.32807,0.79909,0.0096436,0.0096436,0.0096436
20,12768.3,0.56999,1.0928,0.47791,0.83547,0.93916,0.75251,0.79182,0.75676,0.93563,0.74737,0.78898,0.68803,0.44112,0.81701,0.32515,0.79853,0.0096238,0.0096238,0.0096238
21,13403,0.56867,1.09012,0.47599,0.83568,0.93951,0.75293,0.7925,0.7577,0.93382,0.74864,0.78939,0.68862,0.43792,0.81278,0.32209,0.79803,0.009604,0.009604,0.009604
22,14039.1,0.56596,1.08568,0.47444,0.83475,0.93932,0.75374,0.7929,0.75842,0.93274,0.74878,0.78963,0.68916,0.43442,0.80869,0.31886,0.79745,0.0095842,0.0095842,0.0095842
23,14673.8,0.56226,1.0855,0.46869,0.83391,0.94003,0.75418,0.79327,0.75906,0.92935,0.74991,0.78973,0.68956,0.43095,0.80469,0.31559,0.79694,0.0095644,0.0095644,0.0095644
24,15309.5,0.56021,1.07778,0.46913,0.83443,0.94155,0.75446,0.79376,0.75969,0.92955,0.75061,0.79034,0.69036,0.42745,0.80065,0.31274,0.79634,0.0095446,0.0095446,0.0095446
25,15944.9,0.55723,1.06983,0.46664,0.83242,0.94218,0.75488,0.79408,0.76028,0.92989,0.7508,0.7906,0.69081,0.42386,0.79645,0.30994,0.79576,0.0095248,0.0095248,0.0095248
26,16580.7,0.5588,1.07941,0.46577,0.83303,0.94301,0.75533,0.79455,0.76104,0.92999,0.7514,0.79088,0.69113,0.42024,0.79253,0.30717,0.79513,0.009505,0.009505,0.009505
27,17214.9,0.55606,1.0738,0.46258,0.83343,0.94438,0.75578,0.79498,0.76146,0.92995,0.75194,0.7909,0.69145,0.41689,0.78877,0.3046,0.79456,0.0094852,0.0094852,0.0094852
28,17849.6,0.55141,1.06239,0.45954,0.83141,0.9449,0.75666,0.79532,0.76207,0.93021,0.75226,0.79084,0.69171,0.41369,0.78506,0.30208,0.79395,0.0094654,0.0094654,0.0094654
29,18484.5,0.55205,1.06916,0.46122,0.83239,0.94648,0.75705,0.79528,0.76233,0.93098,0.75276,0.79088,0.69168,0.41065,0.78135,0.2998,0.79341,0.0094456,0.0094456,0.0094456
30,19119.4,0.55409,1.07145,0.45948,0.83201,0.94659,0.7575,0.79551,0.76257,0.93134,0.75324,0.79101,0.69184,0.40773,0.77774,0.29757,0.7929,0.0094258,0.0094258,0.0094258
31,19755.4,0.55126,1.06549,0.4597,0.83143,0.94846,0.75765,0.79559,0.76288,0.93139,0.75354,0.7909,0.6916,0.40508,0.77421,0.29554,0.79246,0.009406,0.009406,0.009406
