epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,687.453,0.95205,1.58639,3.11344,0.91073,0.87473,0.71136,0.71794,0.62717,0.86714,0.70738,0.71267,0.5848,0.79707,1.1877,0.80853,0.86195,0.00333275,0.00333275,0.00333275
2,1374.47,0.87383,1.43634,1.58906,0.89476,0.90686,0.72041,0.73502,0.65761,0.90048,0.7176,0.73295,0.61244,0.71429,1.10163,0.65255,0.84908,0.00665288,0.00665288,0.00665288
3,2061.57,0.86429,1.4228,1.08414,0.90051,0.92436,0.72557,0.74181,0.67014,0.92164,0.72288,0.74031,0.61994,0.67977,1.06799,0.58181,0.8463,0.00995981,0.00995981,0.00995981
4,2789.96,0.8132,1.37025,0.85001,0.89616,0.94085,0.73384,0.75334,0.69146,0.93319,0.73138,0.75133,0.63483,0.62104,1.01284,0.48985,0.83649,0.0099406,0.0099406,0.0099406
5,3459.69,0.74842,1.30322,0.70796,0.88118,0.94884,0.73699,0.76336,0.70811,0.94303,0.73479,0.76217,0.64724,0.5834,0.97387,0.43352,0.82914,0.0099208,0.0099208,0.0099208
6,4475.24,0.71207,1.25654,0.64511,0.8726,0.94341,0.74013,0.77059,0.71866,0.93925,0.73796,0.76935,0.65553,0.56059,0.94865,0.40737,0.82338,0.009901,0.009901,0.009901
7,6310.57,0.692,1.23748,0.61266,0.868,0.94627,0.74162,0.77504,0.72579,0.93597,0.73866,0.77346,0.66139,0.54243,0.92684,0.39229,0.81981,0.0098812,0.0098812,0.0098812
8,8064.18,0.67444,1.21634,0.58661,0.86395,0.94841,0.7423,0.77763,0.7302,0.93603,0.73978,0.7753,0.66473,0.52982,0.91374,0.37995,0.81716,0.0098614,0.0098614,0.0098614
9,10065.7,0.66307,1.19851,0.56981,0.8607,0.94628,0.74352,0.77968,0.73394,0.93869,0.74058,0.77717,0.66764,0.51909,0.90248,0.37173,0.81503,0.0098416,0.0098416,0.0098416
10,11727.5,0.64645,1.17356,0.55372,0.85733,0.94746,0.74363,0.78156,0.73674,0.93833,0.74187,0.77932,0.67044,0.51212,0.89537,0.36617,0.81345,0.0098218,0.0098218,0.0098218
