epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5737,0.91778,3.9352,1.30408,0.48781,0.08939,0.08734,0.06322,0.91065,3.22627,1.33308,0.000114534,0.000114534,0.000114534
2,33.7729,0.87983,3.15503,1.25828,0.21365,0.41656,0.27542,0.21426,0.8443,2.15907,1.25421,0.000227262,0.000227262,0.000227262
3,45.7488,0.87954,2.55951,1.24016,0.32348,0.43875,0.36554,0.28189,0.87289,2.07059,1.27759,0.000337713,0.000337713,0.000337713
4,57.5447,0.84677,2.20058,1.19868,0.39975,0.53108,0.42847,0.32107,0.924,1.84005,1.28964,0.000334753,0.000334753,0.000334753
5,69.3944,0.82885,1.97756,1.18443,0.54176,0.47073,0.46115,0.34837,0.84526,1.90138,1.24253,0.000331338,0.000331338,0.000331338
6,81.2806,0.81534,1.86242,1.17971,0.55597,0.58996,0.59481,0.45476,0.86254,1.51115,1.23582,0.000327922,0.000327922,0.000327922
7,93.0865,0.80645,1.74671,1.16529,0.59769,0.58477,0.62634,0.50152,0.778,1.42925,1.18067,0.000324507,0.000324507,0.000324507
8,104.921,0.79242,1.64177,1.15517,0.64866,0.57911,0.65838,0.50917,0.8568,1.36789,1.22109,0.000321091,0.000321091,0.000321091
9,116.801,0.77345,1.55823,1.13703,0.67882,0.63303,0.69816,0.56278,0.74828,1.29361,1.15014,0.000317676,0.000317676,0.000317676
10,128.601,0.7656,1.46984,1.13243,0.68505,0.61574,0.68167,0.54604,0.79368,1.33096,1.18597,0.000314261,0.000314261,0.000314261
11,140.427,0.76104,1.38975,1.12297,0.66267,0.69376,0.73818,0.57913,0.80511,1.21057,1.167,0.000310845,0.000310845,0.000310845
12,152.286,0.7574,1.35147,1.12541,0.75697,0.6396,0.7178,0.57719,0.77127,1.22508,1.17275,0.000307429,0.000307429,0.000307429
13,164.091,0.74377,1.31285,1.11552,0.75546,0.72228,0.78689,0.63359,0.75178,1.08138,1.14042,0.000304014,0.000304014,0.000304014
14,175.879,0.74437,1.27099,1.11886,0.73576,0.6709,0.76825,0.61548,0.75083,1.13911,1.14608,0.000300598,0.000300598,0.000300598
15,187.72,0.72972,1.22616,1.10946,0.7316,0.71919,0.78086,0.63319,0.73251,1.09744,1.13156,0.000297183,0.000297183,0.000297183
16,199.573,0.72322,1.18845,1.09915,0.69418,0.74774,0.79399,0.63881,0.76854,1.05317,1.15436,0.000293768,0.000293768,0.000293768
17,211.401,0.72357,1.15089,1.09873,0.70402,0.6996,0.79029,0.6362,0.75381,1.09447,1.15708,0.000290352,0.000290352,0.000290352
18,223.261,0.72233,1.14067,1.10442,0.72726,0.73353,0.80386,0.65797,0.727,0.99861,1.12989,0.000286936,0.000286936,0.000286936
19,235.058,0.71336,1.10818,1.0972,0.76021,0.757,0.84067,0.67471,0.76446,0.90967,1.16195,0.000283521,0.000283521,0.000283521
20,246.87,0.70472,1.06873,1.0864,0.7939,0.74963,0.85078,0.68956,0.73701,0.88379,1.13959,0.000280106,0.000280106,0.000280106
21,258.727,0.70366,1.03635,1.08819,0.78721,0.71639,0.80517,0.64224,0.78333,1.04103,1.1599,0.00027669,0.00027669,0.00027669
22,270.54,0.69604,1.0341,1.08219,0.79997,0.73208,0.83403,0.67589,0.74667,0.92877,1.13472,0.000273275,0.000273275,0.000273275
23,282.348,0.70368,1.01709,1.08841,0.83281,0.71468,0.83377,0.68216,0.72544,0.89244,1.12019,0.000269859,0.000269859,0.000269859
24,294.182,0.69788,0.98023,1.08009,0.81863,0.76124,0.84102,0.68472,0.7498,0.84944,1.13698,0.000266444,0.000266444,0.000266444
25,305.915,0.68668,0.96078,1.07646,0.8205,0.70627,0.82611,0.66896,0.73853,0.9301,1.13181,0.000263028,0.000263028,0.000263028
26,317.656,0.68285,0.94373,1.07214,0.7982,0.7184,0.81952,0.66705,0.72448,0.90773,1.12287,0.000259612,0.000259612,0.000259612
27,329.576,0.68192,0.9205,1.07068,0.80537,0.80917,0.87145,0.71388,0.71862,0.77068,1.1156,0.000256197,0.000256197,0.000256197
28,341.384,0.67994,0.91634,1.07393,0.81242,0.78927,0.86849,0.70885,0.72685,0.79846,1.11352,0.000252781,0.000252781,0.000252781
29,353.147,0.66775,0.88246,1.06503,0.79842,0.76298,0.85348,0.69897,0.725,0.84095,1.1186,0.000249366,0.000249366,0.000249366
30,365.01,0.66955,0.86294,1.06164,0.75958,0.8012,0.85725,0.70898,0.70219,0.80719,1.11138,0.00024595,0.00024595,0.00024595
31,376.802,0.66733,0.86838,1.06662,0.85607,0.73219,0.84782,0.69015,0.72557,0.83907,1.12274,0.000242535,0.000242535,0.000242535
32,388.592,0.66033,0.84951,1.06281,0.81607,0.78401,0.86941,0.71893,0.70797,0.75155,1.11306,0.000239119,0.000239119,0.000239119
33,400.488,0.66138,0.83224,1.05664,0.84162,0.78289,0.87849,0.72545,0.7032,0.75328,1.11061,0.000235704,0.000235704,0.000235704
34,412.35,0.65408,0.81742,1.05738,0.82407,0.79661,0.87122,0.71682,0.71184,0.75874,1.10914,0.000232288,0.000232288,0.000232288
35,424.407,0.65647,0.82131,1.06247,0.8354,0.78428,0.86977,0.72155,0.71108,0.75229,1.10734,0.000228873,0.000228873,0.000228873
36,436.494,0.64144,0.78348,1.04797,0.82925,0.7964,0.87881,0.72764,0.69543,0.73389,1.09866,0.000225457,0.000225457,0.000225457
37,448.507,0.65747,0.80991,1.06256,0.84301,0.79874,0.8824,0.72948,0.70523,0.75105,1.09725,0.000222042,0.000222042,0.000222042
38,460.576,0.64102,0.7735,1.04881,0.83753,0.8151,0.88542,0.73129,0.71502,0.7231,1.11019,0.000218627,0.000218627,0.000218627
39,472.716,0.64637,0.76909,1.05396,0.8026,0.78499,0.86734,0.72106,0.68033,0.80361,1.08874,0.000215211,0.000215211,0.000215211
40,484.775,0.64463,0.78033,1.04896,0.83769,0.79602,0.88035,0.7292,0.70418,0.70558,1.09865,0.000211795,0.000211795,0.000211795
41,496.866,0.64157,0.74829,1.05049,0.86083,0.79226,0.87363,0.71712,0.71782,0.75371,1.11049,0.00020838,0.00020838,0.00020838
42,508.967,0.64536,0.744,1.04638,0.8673,0.79468,0.89288,0.74477,0.68304,0.66786,1.08499,0.000204965,0.000204965,0.000204965
43,521.075,0.6378,0.73597,1.04543,0.83851,0.81651,0.88957,0.73879,0.70522,0.71205,1.10177,0.000201549,0.000201549,0.000201549
44,533.13,0.62828,0.72804,1.04044,0.86001,0.79598,0.88028,0.72912,0.70005,0.71748,1.0973,0.000198134,0.000198134,0.000198134
45,545.256,0.62965,0.72406,1.04166,0.85698,0.8361,0.90288,0.76145,0.67021,0.6507,1.08611,0.000194718,0.000194718,0.000194718
46,557.331,0.62665,0.72138,1.03802,0.82916,0.83202,0.89118,0.74452,0.68495,0.68033,1.08634,0.000191303,0.000191303,0.000191303
47,569.356,0.6259,0.71323,1.0386,0.82973,0.83377,0.8948,0.74587,0.6946,0.67421,1.09356,0.000187887,0.000187887,0.000187887
48,581.457,0.62682,0.70027,1.04302,0.82065,0.82482,0.89033,0.74492,0.69357,0.70146,1.10244,0.000184472,0.000184472,0.000184472
49,593.494,0.6172,0.68827,1.0326,0.85735,0.81365,0.89506,0.74725,0.68759,0.66475,1.09096,0.000181056,0.000181056,0.000181056
50,605.512,0.61295,0.67079,1.0284,0.87167,0.81687,0.89799,0.74568,0.69934,0.67321,1.09924,0.00017764,0.00017764,0.00017764
51,617.603,0.61211,0.67524,1.03221,0.86731,0.77924,0.89367,0.75126,0.67734,0.69343,1.0841,0.000174225,0.000174225,0.000174225
52,629.672,0.61583,0.66847,1.0293,0.84636,0.82789,0.90158,0.75003,0.68784,0.66852,1.08872,0.000170809,0.000170809,0.000170809
53,641.695,0.60531,0.65398,1.02519,0.86967,0.82823,0.90103,0.75547,0.68397,0.66194,1.0934,0.000167394,0.000167394,0.000167394
54,653.82,0.60251,0.64208,1.02414,0.82887,0.82762,0.88811,0.74121,0.70337,0.69162,1.1002,0.000163978,0.000163978,0.000163978
55,665.875,0.61218,0.65495,1.02812,0.86182,0.83705,0.90278,0.7536,0.68624,0.64906,1.08472,0.000160563,0.000160563,0.000160563
56,677.931,0.59899,0.6373,1.02555,0.86042,0.83526,0.91006,0.76706,0.66872,0.63155,1.077,0.000157147,0.000157147,0.000157147
57,690.06,0.59747,0.62742,1.02403,0.85761,0.81137,0.90139,0.74993,0.68979,0.65375,1.1026,0.000153732,0.000153732,0.000153732
58,702.101,0.59621,0.61268,1.01928,0.88552,0.8138,0.91014,0.75962,0.69533,0.63046,1.09589,0.000150317,0.000150317,0.000150317
59,714.112,0.59594,0.62338,1.02738,0.85658,0.83648,0.90469,0.75454,0.68854,0.63785,1.09746,0.000146901,0.000146901,0.000146901
60,726.232,0.59728,0.61636,1.02038,0.89185,0.81475,0.91143,0.76698,0.67957,0.61235,1.08384,0.000143486,0.000143486,0.000143486
